ID,ステータス,カテゴリ,離脱防止タグ名,離脱防止タグ,クリック時,画像URL,流入経路URL名,流入経路URL,テキスト,経過時間(秒),経過時間設定,フォーム入力中制限,スクロール(px),ブラウザヘッダ遷移,別タブ遷移(ブラウザアプリ離脱も含む),ページ最下部,編集日,編集時間,
"1696","SPのみ表示","SEO","/seo_phimo/kanton_abc_治療必要度が気になる","<script src='https://js.winut.net/winback.js?back_uqid=1B47HK9' async></script>","流入経路URLに遷移する","https://img.winut.net/125/NRLPiO8jxefz56Kw-1773730327.jpg","/seo_phimo/kanton_abc_治療必要度が気になる","https://t.winut.netin/flow/1K8QBKJ","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月17日","15:52:07",
"1695","SPのみ表示","SEO","/seo_phimo/kanton_abc_放置するの不安","<script src='https://js.winut.net/winback.js?back_uqid=1B3HFPH' async></script>","流入経路URLに遷移する","https://img.winut.net/125/Z4C2SANwXEizFyV1-1773730297.jpg","/seo_phimo/kanton_abc_放置するの不安","https://t.winut.netin/flow/1K7J9A1","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月17日","15:51:37",
"1694","SPのみ表示","SEO","/seo_phimo/shinsei_abc_治療必要度が気になる","<script src='https://js.winut.net/winback.js?back_uqid=1B2T05G' async></script>","流入経路URLに遷移する","https://img.winut.net/125/eR8ZQKGSY84njzEm-1773730256.jpg","/seo_phimo/shinsei_abc_治療必要度が気になる","https://t.winut.netin/flow/1K6D3W9","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月17日","15:50:56",
"1693","SPのみ表示","SEO","/seo_phimo/shinsei_abc_ちょっと不安","<script src='https://js.winut.net/winback.js?back_uqid=1B1BUK5' async></script>","流入経路URLに遷移する","https://img.winut.net/125/pxYTDN6I0rhGtmui-1773730224.jpg","/seo_phimo/shinsei_abc_ちょっと不安","https://t.winut.netin/flow/1K51O8O","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月17日","15:50:24",
"1692","SPのみ表示","SEO","/seo_phimo/toha_abc_包茎タイプ治療必要度気になる","<script src='https://js.winut.net/winback.js?back_uqid=1B01FN0' async></script>","流入経路URLに遷移する","https://img.winut.net/125/srJo7cL58sdoHiBj-1773730178.jpg","/seo_phimo/toha_abc_包茎タイプ治療必要度気になる","https://t.winut.netin/flow/1K4EDGZ","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月17日","15:49:38",
"1691","SPのみ表示","SEO","/seo_phimo/toha_abc_自分の包茎タイプわからない","<script src='https://js.winut.net/winback.js?back_uqid=1AZTZC2' async></script>","流入経路URLに遷移する","https://img.winut.net/125/Vzl1hZBdMkKZwGdq-1773730066.jpg","/seo_phimo/toha_abc_自分の包茎タイプわからない","https://t.winut.netin/flow/1K3HWE6","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月17日","15:47:46",
"1690","SPのみ表示","SEO","/seo_phimo/kasei _abc_治療必要度が気になる","<script src='https://js.winut.net/winback.js?back_uqid=1AYN1IS' async></script>","流入経路URLに遷移する","https://img.winut.net/125/SvRD24rizDurgupm-1773730009.jpg","/seo_phimo/kasei _abc_治療必要度が気になる","https://t.winut.netin/flow/1K2326E","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月17日","15:46:49",
"1689","SPのみ表示","SEO","/seo_phimo/kasei _abc_このままでいいのか","<script src='https://js.winut.net/winback.js?back_uqid=1AXCJ4X' async></script>","流入経路URLに遷移する","https://img.winut.net/125/m6qDuXzuDQEl89Uv-1773729931.jpg","/seo_phimo/kasei _abc_このままでいいのか","https://t.winut.netin/flow/1K18C9Y","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月17日","15:45:31",
"1668","SPのみ表示","SEO","/seo_phimo/kanton_治し方が知りたい","<script src='https://js.winut.net/winback.js?back_uqid=1AC9MD2' async></script>","流入経路URLに遷移する","https://img.winut.net/125/JjmbSj5A3sfrnR2x-1772613752.jpg","/seo_phimo/kanton_治し方が知りたい","https://t.winut.netin/flow/1J60SOG","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月04日","17:42:32",
"1666","SPのみ表示","SEO","/seo_phimo/kanton_放っておいて不安","<script src='https://js.winut.net/winback.js?back_uqid=1AASXQI' async></script>","流入経路URLに遷移する","https://img.winut.net/125/oN6oXe7wk4vD7YPE-1772615831.jpg","/seo_phimo/kanton_放っておいて不安","https://t.winut.netin/flow/1J5J4KY","","90","ページ表示から秒経過","未使用","0","停止","停止","停止","2026年03月04日","18:17:11",
